,user_id,total_spent,purchase_ratio,average_rating,product_diversity,time_of_day_encoded,day_type_encoded,frequency_scaled,user_cluster
0,1,475221.0,0.1672131147540983,0.4665314401622718,37,3.4685598377281948,0.281947261663286,0.5031552851025467,3
1,3,13251.0,0.2,0.5510204081632653,7,3.4489795918367347,0.2244897959183673,0.4863945578231292,3
2,4,747007.0,0.1657608695652173,0.4316309719934102,44,3.3360790774299836,0.2619439868204283,0.5167490389895661,3
3,5,6738290.0,0.1816143497757847,0.4838198687485857,319,3.450328128535868,0.2706494682054763,0.5083226471549621,0
4,6,21615.0,0.2142857142857142,0.6,5,3.32,0.36,0.5666666666666667,3
5,8,235681.0,0.1683673469387755,0.4662379421221865,24,3.6463022508038585,0.2411575562700964,0.54162200785995,3
6,9,207576.0,0.225,0.53125,8,3.453125,0.296875,0.5026041666666666,3
7,10,539.0,0.0,0.0,1,1.0,1.0,0.0,3
8,13,481845.0,0.1486486486486486,0.3959183673469387,37,3.442857142857143,0.2571428571428571,0.4971655328798185,3
9,15,387816.0,0.1531322505800464,0.4526315789473684,45,3.473684210526316,0.3082706766917293,0.5005847953216374,3
10,17,207576.0,0.1794871794871795,0.53125,8,3.34375,0.3125,0.4687499999999999,3
11,18,292688.0,0.2,0.5,13,3.526666666666667,0.2333333333333333,0.5355555555555556,3
12,19,13251.0,0.1666666666666666,0.4693877551020408,7,3.2244897959183674,0.3265306122448979,0.4512471655328798,3
13,20,24384.0,0.0769230769230769,0.2222222222222222,6,3.5,0.25,0.5462962962962963,3
14,23,23625.0,0.1666666666666666,0.4489795918367347,7,3.8979591836734695,0.3469387755102041,0.5770975056689341,3
15,25,86288.0,0.1383928571428571,0.3770949720670391,26,3.4078212290502794,0.2821229050279329,0.4843265052762259,3
16,29,99056275.0,0.1788498374092387,0.482252475922844,2621,3.4823070417155484,0.2757209505361089,0.5012322774852445,11
17,31,20384.0,0.2,0.5625,4,4.125,0.1875,0.4618055555555555,3
18,32,2391.0,0.25,0.4444444444444444,3,3.3333333333333335,0.3333333333333333,0.4876543209876542,3
19,33,1136589.3,0.1928518242740134,0.5256645279560037,153,3.422089825847846,0.2804766269477543,0.4944749974539158,3
20,34,249.0,0.0,0.0,1,3.0,0.0,0.9444444444444444,3
21,35,7165905.0,0.192400482509047,0.5157509157509158,197,3.4615384615384617,0.2699633699633699,0.4887057387057386,0
22,36,252149.0,0.1666666666666666,0.4497991967871486,18,3.34136546184739,0.2369477911646586,0.4770191878625613,3
23,39,204895.0,0.189873417721519,0.4936708860759494,29,3.3772151898734175,0.3088607594936708,0.4679324894514767,3
24,40,157697.0,0.1774193548387097,0.4626865671641791,15,3.54726368159204,0.3184079601990049,0.5193477059148701,3
25,43,181549.0,0.25,0.6019900497512438,16,3.3134328358208953,0.2935323383084577,0.4872857932559425,3
26,44,21615.0,0.2105263157894736,0.68,5,3.96,0.48,0.4933333333333333,3
27,45,155752.0,0.0888888888888888,0.2717948717948718,15,3.6666666666666665,0.3076923076923077,0.4988603988603988,3
28,46,816183.9,0.1784274193548387,0.4883863080684597,114,3.458435207823961,0.2738386308068459,0.4969437652811735,3
29,47,46716.0,0.1578947368421052,0.3979591836734694,10,3.2551020408163267,0.2448979591836734,0.4841269841269841,3
30,48,28975.0,0.0714285714285714,0.16,5,2.88,0.2,0.38,3
31,50,103714.0,0.15,0.3676470588235294,12,3.676470588235294,0.3088235294117647,0.4820261437908497,3
32,51,13251.0,0.1764705882352941,0.5306122448979592,7,3.4693877551020407,0.3061224489795918,0.5136054421768707,3
33,52,2095119.0,0.1699702675916749,0.458966565349544,235,3.4446808510638296,0.2790273556231003,0.4922492401215805,8
34,53,23751.0,0.088235294117647,0.2448979591836734,7,3.122448979591837,0.3469387755102041,0.5748299319727891,3
35,54,1499.0,0.0,4.0,1,1.0,0.0,0.4444444444444444,3
36,55,2476.0,0.0,0.0,2,4.0,0.25,0.4444444444444444,3
37,56,542709.0,0.2111111111111111,0.5308641975308642,13,3.796296296296296,0.2345679012345679,0.5277777777777778,3
38,57,81201.0,0.1761904761904762,0.4927536231884058,26,3.3246376811594205,0.2550724637681159,0.4835748792270531,3
39,59,1499.0,0.0,0.0,1,2.0,0.0,0.0555555555555555,3
40,60,189446.0,0.1871345029239766,0.4896551724137931,20,3.420689655172414,0.2482758620689655,0.5122605363984674,3
41,61,87986.0,0.25,0.5701754385964912,11,3.1315789473684212,0.2543859649122807,0.5399610136452241,3
42,63,661904.0,0.1532091097308488,0.4131578947368421,55,3.403947368421053,0.2592105263157894,0.5070906432748538,3
43,64,4051293.0,0.1807841963483986,0.4870665932856357,400,3.51495138506696,0.2711429095578793,0.508133064269553,8
44,65,169488.0,0.13125,0.3682170542635659,20,3.775193798449613,0.2364341085271318,0.5142118863049095,3
